EinheitMastrNummer,NameStromerzeugungseinheit,EinheitBetriebsstatus,Inbetriebnahmedatum,Registrierungsdatum,Energietraeger,Bruttoleistung,Nettonennleistung,Postleitzahl,Ort,Bundesland,AnlagenbetreiberMastrNummer,DatumLetzteAktualisierung,Laengengrad,Breitengrad
SEE909081639072,BM-BHKW Heizwerk Kirchberg,35,2012-02-02,2019-02-01,2493,1189.000,1189.000,08107,Kirchberg,1413,ABR905920218880,2024-03-21T10:19:22.1843189,12.506653,50.619609
SEE909043722354,Heizkraftwerk Osterfeld,35,2009-01-14,2019-02-07,2493,1900.000,1900.000,06721,Osterfeld,1414,ABR996083385243,2019-05-28T08:26:38.0316692,11.934822,51.047045
SEE931543799284,"BGA Bitterfeld, Mühlenweg 1c, Anlage 1, BHKW",35,2007-06-19,2019-02-12,2493,625.000,625.000,06749,Bitterfeld-Wolfen,1414,ABR991967582008,2025-12-04T16:08:03.8315274,12.312000,51.630000
SEE904234294467,"BGA Kaakstedt, Ort Weiler 11, Anlage 1, BHKW",35,2006-09-05,2019-02-13,2493,526.000,526.000,17268,Gerswalde,1400,ABR991967582008,2024-02-26T16:13:04.0643562,13.779000,53.191000
SEE955362298346,"BGA Garlipp, Gewerbegebiet, Anlage 1, BHKW",35,2006-12-11,2019-02-13,2493,536.000,536.000,39628,Bismark,1414,ABR905920218880,2025-12-04T16:21:23.3134157,11.612176,52.639640
SEE989060066877,"BGA Kaakstedt, Ort Weiler 11, Anlage 2, BHKW",35,2006-09-05,2019-02-13,2493,526.000,526.000,17268,Gerswalde,1400,ABR991967582008,2024-02-26T16:11:44.5508905,13.779000,53.191000
SEE984271949193,"BGA Garlipp, Sperlingsberg, Anlage 2, BHKW",35,2006-12-29,2019-02-13,2493,536.000,536.000,39628,Bismark,1414,ABR905920218880,2025-12-04T16:22:22.1964604,11.619780,52.647497
SEE934521968603,"BGA Belkau, an der K1048, Anlage 1, BHKW",35,2006-12-21,2019-02-13,2493,536.000,536.000,39628,Bismark,1414,ABR905920218880,2025-12-04T16:23:44.5452095,11.770133,52.646291
SEE944837959646,"BGA Belkau, Neuendorfer Weg, Anlage 2, BHKW",35,2006-12-11,2019-02-13,2493,536.000,536.000,39628,Bismark,1414,ABR905920218880,2025-09-01T09:37:30.7734226,11.766658,52.658009
SEE903188680777,"BGA Schäplitz, Schäplitz , BHKW",35,2007-02-14,2019-02-13,2493,536.000,536.000,39628,Bismark,1414,ABR905920218880,2025-12-04T16:24:39.4131771,11.611724,52.626284
