Mastr_Nummer,Firmenname,Rechtsform,Bundesland,PLZ,Ort,Strasse,Hausnummer,Registrierungsdatum,Website,HauptwirtdschaftszweigAbteilung,HauptwirtdschaftszweigGruppe,HauptwirtdschaftszweigAbschnitt,Adresse
SNB971746988153,enercity Netz GmbH,429,340,30459,Hannover,Auf der Papenburg,18,2017-05-17T09:45:25.7657488,,,,,Auf der Papenburg 18 30459 Hannover
GNB917220120879,enercity Netz GmbH,429,340,30459,Hannover,Auf der Papenburg,18,2017-05-17T09:47:48.3178321,,,,,Auf der Papenburg 18 30459 Hannover
GNB913738110296,Stadtwerke Wunstorf GmbH ＆ Co. KG,430,340,31515,Wunstorf,An der Nonnenwiese,7,2017-06-21T00:00:00,,,,,An der Nonnenwiese 7 31515 Wunstorf
ABR923759425026,WEA Sögel Süd I GmbH ＆ Co. KG,430,340,26789,Leer,Nessestraße,24,2019-02-06T10:39:05.7724746,,1215,2686,1165,Nessestrasse 24 26789 Leer
ABR942767528161,enercity Contracting GmbH,429,340,30159,Hannover,Osterstraße,63,2019-02-01T08:46:19.3844065,,1215,2688,1165,Osterstrasse 63 30159 Hannover
ABR944873398522,Thermische Abfallbehandlung Lauta GmbH ＆ Co. oHG,432,345,02991,Lauta,Industrie- und Gewerbegebiet Lauta Straße B,5,2019-02-01T08:58:12.7365602,,1218,2692,1166,Industrie- und Gewerbegebiet Lauta Strasse B 5 02991 Lauta
ABR935540117324,Danpower Energie Service GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-01T14:55:48.4322826,,1215,2688,1165,Otto-Braun-Platz 1 14467 Potsdam
ABR969583028477,IKW Rüdersdorf GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-12T14:27:15.0681724,,1218,2692,1166,Otto-Braun-Platz 1 14467 Potsdam
ABR929685968101,Stadtwerke Wunstorf GmbH ＆ Co. KG,430,340,31515,Wunstorf,An der Nonnenwiese,7,2019-02-08T07:46:30.6286684,,1215,2687,1165,An der Nonnenwiese 7 31515 Wunstorf
ABR950774983606,WEA Sögel Süd II GmbH ＆ Co. KG,430,340,26789,Leer,Nessestraße,24,2019-02-06T10:44:47.2410256,,1215,2686,1165,Nessestrasse 24 26789 Leer
ABR947204920836,WEA Sögel Süd III GmbH ＆ Co. KG,430,340,26789,Leer,Nessestraße,24,2019-02-06T10:48:11.9097467,,1215,2686,1165,Nessestrasse 24 26789 Leer
ABR996083385243,Danpower Pelletproduktion GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-07T16:00:20.7719591,,1213,2683,1164,Otto-Braun-Platz 1 14467 Potsdam
ABR967793480382,enercity Contracting Nord,429,340,30159,Hannover,Osterstraße,63,2019-02-11T14:04:14.1121880,,1215,2688,1165,Osterstrasse 63 30159 Hannover
ABR991967582008,Danpower GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-12T12:41:04.7134288,,1215,2686,1165,Otto-Braun-Platz 1 14467 Potsdam
ABR905920218880,Danpower Energie Service GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-12T14:11:15.6990689,,1215,2686,1165,Otto-Braun-Platz 1 14467 Potsdam
ABR954076216738,Danpower Biomasse GmbH,429,332,14467,Potsdam,Otto-Braun-Platz,1,2019-02-12T14:13:59.1685303,,1215,2686,1165,Otto-Braun-Platz 1 14467 Potsdam
ABR926136122181,IEW Biogaspark Wolgast GmbH,429,339,17438,Wolgast,Schusterstraße,32-33,2019-02-13T07:48:49.7362173,,1215,2686,1165,Schusterstrasse 32-33 17438 Wolgast
GEM947005166532,vigoris Handels GmbH,429,332,04910,Elsterwerda,Lauchhammerstraße,45,2019-02-13T10:40:04.1056176,,,,,Lauchhammerstrasse 45 04910 Elsterwerda
ABR901203303755,enercity AG,409,340,30169,Hannover,Glockseeplatz,1,2019-02-21T12:35:31.0208720,,1215,2686,1165,Glockseeplatz 1 30169 Hannover
ABR903729451323,enercity Windpark Portfolio GmbH ＆ Co. KG,430,339,18276,Lohmen,Chausseestr.,14,2019-03-06T10:26:10.9552649,,,,,Chausseestr. 14 18276 Lohmen
ABR929642000172,enercity Windpark Lemwerder GmbH,429,340,26789,Leer,Nessestraße,24,2019-03-21T10:19:14.6565368,,1215,2686,1165,Nessestrasse 24 26789 Leer
SOM953058088875,enercity Erneuerbare GmbH,429,340,26789,Leer,Nessestrasse,24,2019-04-25T09:42:58.8374791,,,,,Nessestrasse 24 26789 Leer
ABR928477865833,enercity Windpkark Schipkau GmbH ＆ Co. KG,430,332,01998,Klettwitz,Markt,17,2019-04-25T10:03:05.0643641,,1215,2686,1165,Markt 17 01998 Klettwitz
ABR904367324437,enercity Windpark Fischbeck GmbH,429,340,26789,Leer,Nessestraße,24,2019-04-25T12:21:56.2091284,,1215,2686,1165,Nessestrasse 24 26789 Leer
ABR909752021298,enercity Windpark Groß Eilstorf GmbH,429,340,29664,Walsrode,Quintusstraße,57,2019-05-14T09:00:20.2986699,,,,,Quintusstrasse 57 29664 Walsrode
ABR927611718769,enercity Windpark Klettwitz GmbH ＆ Co. KG,430,332,01998,Klettwitz,Markt,17,2019-04-30T05:59:27.3678726,,,,,Markt 17 01998 Klettwitz
ABR902320562728,enercity Windpark Portfolio II GmbH,429,340,30449,Hannover,Ihmeplatz,2,2019-04-30T06:58:59.9185604,,1215,2686,1165,Ihmeplatz 2 30449 Hannover
ABR922351821588,enercity Windpark Portfolio II GmbH,429,340,30449,Hannover,Ihmeplatz,2,2019-06-03T13:24:08.8623940,,,,,Ihmeplatz 2 30449 Hannover
