area_id,zipcode,city,state,tso_region,latitude,longitude
1,79115,Freiburg,Baden-Württemberg,TransnetBW,47.9793,7.822
2,76187,Karlsruhe,Baden-Württemberg,TransnetBW,49.019815,8.371491
3,73230,Kirchheim,Baden-Württemberg,TransnetBW,48.615626,9.475712
4,71638,Ludwigsburg,Baden-Württemberg,TransnetBW,48.893692,9.225544
5,88709,Meersburg,Baden-Württemberg,TransnetBW,47.704913,9.271325
6,76684,Östringen,Baden-Württemberg,TransnetBW,49.2191,8.7119
7,86911,Dießen,Bayern,TenneT,47.945597,11.099628
8,86456,Gablingen,Bayern,TenneT,48.455257,10.854394
9,80686,München,Bayern,TenneT,48.135238,11.522968
10,85764,Oberschleißheim,Bayern,TenneT,48.254891,11.549763
11,85276,Pfaffenhofen,Bayern,TenneT,48.522168,11.505549
12,85276,Pfaffenhofen,Bayern,TenneT,48.522063,11.50509
13,92237,Sulzbach-Rosenberg,Bayern,TenneT,49.486535,11.773324
14,84478,Waldkraiburg,Bayern,TenneT,48.199275,12.393505
15,16259,Bad Freienwalde,Brandenburg,50Hertz,52.7516875,13.94022775
16,15848,Beeskow,Brandenburg,50Hertz,52.20936533333333,14.244393333333333
17,15848,Beeskow,Brandenburg,50Hertz,52.198388,14.224931
18,4910,Elsterwerda,Brandenburg,50Hertz,51.465983,13.504711
19,17268,Gerswalde,Brandenburg,50Hertz,53.191,13.779
20,14669,Ketzin,Brandenburg,50Hertz,52.531701,12.88144225
21,1998,Klettwitz,Brandenburg,50Hertz,51.5242425,13.8718945
22,1979,Lauchhammer,Brandenburg,50Hertz,51.493305,13.736401
23,1979,Lauchhammer,Brandenburg,50Hertz,51.537003166666665,13.834597166666667
24,1979,Lauchhammer,Brandenburg,50Hertz,51.524854000000005,13.8611505
25,14641,Paulinenaue,Brandenburg,50Hertz,52.663396,12.735838
26,16928,Pritzwalk,Brandenburg,50Hertz,53.225452,12.206808
27,16928,Pritzwalk,Brandenburg,50Hertz,53.225938,12.211378
28,15848,Rietz-Neuendorf,Brandenburg,50Hertz,52.19597453846154,14.217739846153846
29,1993,Schipkau,Brandenburg,50Hertz,51.516659153846156,13.865761692307691
30,16303,Schwedt,Brandenburg,50Hertz,53.09158777777778,14.180267444444446
31,14513,Teltow,Brandenburg,50Hertz,52.4031,13.2601
32,14959,Trebbin,Brandenburg,50Hertz,52.20366614285714,13.290820714285713
33,28757,Bremen,Bremen,TenneT,53.176739,8.64563
34,20457,Hamburg,Hamburg,50Hertz,53.544485,10.007057
35,20457,Hamburg,Hamburg,50Hertz,53.5497,9.9794
36,22083,Hamburg,Hamburg,50Hertz,53.579034,10.036789
37,22145,Hamburg,Hamburg,50Hertz,53.62344566666667,10.174851666666667
38,22559,Hamburg,Hamburg,50Hertz,53.5847,9.7564
39,34519,Diemelsee,Hessen,TenneT,51.38236766666666,8.819578666666667
40,17087,Altentreptow,Mecklenburg-Vorpommern,50Hertz,53.6861795,13.204264
41,17321,Bergholz,Mecklenburg-Vorpommern,50Hertz,53.4562455,14.151297199999998
42,19089,Crivitz,Mecklenburg-Vorpommern,50Hertz,53.54525155555555,11.798304555555555
43,19374,Kladrum,Mecklenburg-Vorpommern,50Hertz,53.54425633333333,11.799951666666667
44,17321,Löcknitz,Mecklenburg-Vorpommern,50Hertz,53.460581,14.142642
45,17139,Malchin,Mecklenburg-Vorpommern,50Hertz,53.75,12.773
46,18249,Tarnow,Mecklenburg-Vorpommern,50Hertz,53.769481000000006,12.018828666666666
47,18465,Tribsees,Mecklenburg-Vorpommern,50Hertz,54.1139502,12.8435898
48,19243,Wittenburg,Mecklenburg-Vorpommern,50Hertz,53.512,11.088
49,17438,Wolgast,Mecklenburg-Vorpommern,50Hertz,54.058,13.748
50,17438,Wolgast,Mecklenburg-Vorpommern,50Hertz,54.058738,13.76537
51,29693,Ahlden,Niedersachsen,TenneT,52.7601,9.5543
52,48455,Bad Bentheim,Niedersachsen,TenneT,52.3007,7.1576
53,31162,Bad Salzdetfurth,Niedersachsen,TenneT,52.06,10.01
54,38271,Baddeckenstedt,Niedersachsen,TenneT,52.0935785,10.185098499999999
55,49406,Barnstorf,Niedersachsen,TenneT,52.746936,8.535081
56,21643,Beckdorf,Niedersachsen,TenneT,53.418606,9.644791
57,26487,Blomberg,Niedersachsen,TenneT,53.5520895,7.5049660000000005
58,26487,Blomberg,Niedersachsen,TenneT,53.552779,7.526852
59,30938,Burgwedel,Niedersachsen,TenneT,52.579186,9.854877
60,30938,Burgwedel,Niedersachsen,TenneT,52.578514,9.8553
61,21614,Buxtehude,Niedersachsen,TenneT,53.47994,9.692523
62,29225,Celle,Niedersachsen,TenneT,52.6122,10.0402
63,38678,Clausthal-Zellerfeld,Niedersachsen,TenneT,51.800107,10.348046
64,49406,Drentwede,Niedersachsen,TenneT,52.74173,8.534878
65,49406,Drentwede,Niedersachsen,TenneT,52.7454405,8.530750999999999
66,49406,Drentwede,Niedersachsen,TenneT,52.7504425,8.532720999999999
67,49406,Drentwede,Niedersachsen,TenneT,52.748326,8.526801
68,49406,Drentwede,Niedersachsen,TenneT,52.742844500000004,8.5068635
69,27777,Ganderkesee,Niedersachsen,TenneT,53.113911,8.589094
70,30827,Garbsen,Niedersachsen,TenneT,52.4353,9.611
71,27607,Geestland,Niedersachsen,TenneT,53.611524,8.5938
72,26532,Großheide,Niedersachsen,TenneT,53.616385666666666,7.421246666666666
73,29693,Hademstorf,Niedersachsen,TenneT,52.7121,9.6139
74,30159,Hannover,Niedersachsen,TenneT,52.3736,9.7371
75,30159,Hannover,Niedersachsen,TenneT,52.372904,9.74608
76,30161,Hannover,Niedersachsen,TenneT,52.3874,9.7465
77,30161,Hannover,Niedersachsen,TenneT,52.381221,9.736011
78,30161,Hannover,Niedersachsen,TenneT,52.384561,9.740205333333334
79,30165,Hannover,Niedersachsen,TenneT,52.4008,9.7217
80,30165,Hannover,Niedersachsen,TenneT,52.4008,9.7217
81,30169,Hannover,Niedersachsen,TenneT,52.355476,9.736624
82,30169,Hannover,Niedersachsen,TenneT,52.3657945,9.740770249999999
83,30171,Hannover,Niedersachsen,TenneT,52.3697,9.7521
84,30171,Hannover,Niedersachsen,TenneT,52.3697,9.7521
85,30173,Hannover,Niedersachsen,TenneT,52.3586,9.7558
86,30173,Hannover,Niedersachsen,TenneT,52.355107,9.765305
87,30175,Hannover,Niedersachsen,TenneT,52.373722,9.768345
88,30177,Hannover,Niedersachsen,TenneT,52.3973,9.7707
89,30419,Hannover,Niedersachsen,TenneT,52.409971399999996,9.6633991
90,30419,Hannover,Niedersachsen,TenneT,52.4097684,9.6704632
91,30419,Hannover,Niedersachsen,TenneT,52.398519,9.681854
92,30419,Hannover,Niedersachsen,TenneT,52.41660666666667,9.665557333333332
93,30451,Hannover,Niedersachsen,TenneT,52.375070666666666,9.708482
94,30453,Hannover,Niedersachsen,TenneT,52.356957,9.698619
95,30453,Hannover,Niedersachsen,TenneT,52.377511,9.670584
96,30453,Hannover,Niedersachsen,TenneT,52.380551499999996,9.6906245
97,30453,Hannover,Niedersachsen,TenneT,52.368421,9.699616
98,30455,Hannover,Niedersachsen,TenneT,52.3658065,9.670259999999999
99,30457,Hannover,Niedersachsen,TenneT,52.326011,9.700254000000001
100,30459,Hannover,Niedersachsen,TenneT,52.336714,9.700378
101,30459,Hannover,Niedersachsen,TenneT,52.35331166666666,9.723931
102,30519,Hannover,Niedersachsen,TenneT,52.338050333333335,9.776225833333333
103,30519,Hannover,Niedersachsen,TenneT,52.339265,9.7732596
104,30519,Hannover,Niedersachsen,TenneT,52.339554,9.756046
105,30539,Hannover,Niedersachsen,TenneT,52.331872,9.83102
106,30539,Hannover,Niedersachsen,TenneT,52.33165225,9.82313675
107,30539,Hannover,Niedersachsen,TenneT,52.328344,9.819481
108,30539,Hannover,Niedersachsen,TenneT,52.3252085,9.822165250000001
109,30559,Hannover,Niedersachsen,TenneT,52.3613,9.8344
110,30559,Hannover,Niedersachsen,TenneT,52.35862,9.824663
111,30625,Hannover,Niedersachsen,TenneT,52.37929577777778,9.806547888888888
112,30627,Hannover,Niedersachsen,TenneT,52.3667,9.7167
113,30629,Hannover,Niedersachsen,TenneT,52.3895,9.8502
114,30655,Hannover,Niedersachsen,TenneT,52.4026,9.7939
115,30966,Hemmingen,Niedersachsen,TenneT,52.3143,9.7236
116,30966,Hemmingen,Niedersachsen,TenneT,52.3143,9.7236
117,29693,Hodenhagen,Niedersachsen,TenneT,52.7589,9.5888
118,49751,Hüven,Niedersachsen,TenneT,52.788889999999995,7.593106
119,31246,Ilsede,Niedersachsen,TenneT,52.240247,10.27179925
120,30880,Laatzen,Niedersachsen,TenneT,52.3076874,9.804551
121,30851,Langenhagen,Niedersachsen,TenneT,52.43903,9.728997
122,31275,Lehrte,Niedersachsen,TenneT,52.3719,9.9792
123,26524,Lütetsburg,Niedersachsen,TenneT,53.615207999999996,7.23521
124,26524,Lütetsburg,Niedersachsen,TenneT,53.62091775,7.23980475
125,26556,Nenndorf,Niedersachsen,TenneT,53.620048,7.432877
126,26556,Nenndorf,Niedersachsen,TenneT,53.6097105,7.43244325
127,26487,Neuschoo,Niedersachsen,TenneT,53.557382,7.525335
128,26506,Norden,Niedersachsen,TenneT,53.62468714285715,7.231745857142856
129,26506,Norden,Niedersachsen,TenneT,53.62819516666667,7.230069333333333
130,26506,Norden,Niedersachsen,TenneT,53.6264655,7.235312
131,26506,Norden,Niedersachsen,TenneT,53.63180875,7.2460425
132,26506,Norden,Niedersachsen,TenneT,53.63265511111111,7.251868
133,26489,Ochtersum,Niedersachsen,TenneT,53.61999716666667,7.532450166666667
134,26489,Ochtersum,Niedersachsen,TenneT,53.6211445,7.5204
135,26489,Ochtersum,Niedersachsen,TenneT,53.6195955,7.5176275
136,26125,Oldenburg,Niedersachsen,TenneT,53.179082,8.230082
137,26131,Oldenburg,Niedersachsen,TenneT,53.135293,8.164882
138,30952,Ronnenberg,Niedersachsen,TenneT,52.316887,9.644498
139,30952,Ronnenberg,Niedersachsen,TenneT,52.339182,9.649843
140,30952,Ronnenberg,Niedersachsen,TenneT,52.3194,9.6554
141,26556,Schweindorf,Niedersachsen,TenneT,53.58218125,7.47486825
142,26556,Schweindorf,Niedersachsen,TenneT,53.617544,7.463888
143,26556,Schweindorf,Niedersachsen,TenneT,53.623791499999996,7.463248500000001
144,31079,Sibbesse,Niedersachsen,TenneT,52.03998360000001,9.970623
145,49751,Sögel,Niedersachsen,TenneT,52.808322000000004,7.496613
146,49751,Sögel,Niedersachsen,TenneT,52.80891,7.504337
147,49751,Sögel,Niedersachsen,TenneT,52.8142335,7.510498
148,49751,Sögel,Niedersachsen,TenneT,52.817074,7.554345
149,49751,Sögel,Niedersachsen,TenneT,52.8143515,7.554907
150,49751,Sögel,Niedersachsen,TenneT,52.814607,7.555144
151,49751,Sögel,Niedersachsen,TenneT,52.816244,7.5341995
152,49751,Sögel,Niedersachsen,TenneT,52.802762333333334,7.5287603333333335
153,49751,Sögel,Niedersachsen,TenneT,52.80477,7.51671
154,26556,Utarp,Niedersachsen,TenneT,53.620071249999995,7.4753092500000005
155,26556,Utarp,Niedersachsen,TenneT,53.6207015,7.471946
156,26556,Utarp,Niedersachsen,TenneT,53.618622,7.4911125
157,26556,Utarp,Niedersachsen,TenneT,53.61977,7.479342
158,26556,Utarp,Niedersachsen,TenneT,53.620598,7.483542
159,26556,Utarp,Niedersachsen,TenneT,53.62043,7.496383
160,29664,Walsrode,Niedersachsen,TenneT,52.814527176470584,9.426858058823528
161,30900,Wedemark,Niedersachsen,TenneT,52.591874,9.76169
162,30900,Wedemark,Niedersachsen,TenneT,52.57454733333333,9.756142
163,26556,Westerholt,Niedersachsen,TenneT,53.62036125,7.46559025
164,26556,Westerholt,Niedersachsen,TenneT,53.620781,7.448847
165,26556,Westerholt,Niedersachsen,TenneT,53.612332,7.443102
166,26556,Westerholt,Niedersachsen,TenneT,53.6196,7.452101
167,26556,Westerholt,Niedersachsen,TenneT,53.61397172727273,7.442280272727273
168,26556,Westerholt,Niedersachsen,TenneT,53.61118975,7.43909675
169,26556,Westerholt,Niedersachsen,TenneT,53.614343375,7.45583425
170,26639,Wiesmoor,Niedersachsen,TenneT,53.382197500000004,7.7813125
171,26639,Wiesmoor,Niedersachsen,TenneT,53.383382499999996,7.786325
172,26639,Wiesmoor,Niedersachsen,TenneT,53.38428,7.79883
173,26639,Wiesmoor,Niedersachsen,TenneT,53.38546,7.80552
174,26639,Wiesmoor,Niedersachsen,TenneT,53.38781333333333,7.80453
175,26639,Wiesmoor,Niedersachsen,TenneT,53.38576,7.78551
176,26639,Wiesmoor,Niedersachsen,TenneT,53.38013333333333,7.7774399999999995
177,26388,Wilhelmshaven,Niedersachsen,TenneT,53.545165,8.042354
178,26388,Wilhelmshaven,Niedersachsen,TenneT,53.543006,8.037623
179,31515,Wunstorf,Niedersachsen,TenneT,52.4278,9.4314
180,48653,Coesfeld,Nordrhein-Westfalen,Amprion,51.9435,7.1681
181,41812,Erkelenz,Nordrhein-Westfalen,Amprion,51.081045,6.310005
182,59597,Erwitte,Nordrhein-Westfalen,Amprion,51.628791500000005,8.337315499999999
183,45136,Essen,Nordrhein-Westfalen,Amprion,51.433175,7.026801
184,59075,Hamm,Nordrhein-Westfalen,Amprion,51.702944,7.769551
185,45663,Recklinghausen,Nordrhein-Westfalen,Amprion,51.583148,7.217422
186,33397,Rietberg,Nordrhein-Westfalen,Amprion,51.737936,8.403699
187,32351,Stemwede,Nordrhein-Westfalen,Amprion,52.4008764,8.3487744
188,56825,Beuren,Rheinland-Pfalz,Amprion,50.0897908,7.0518008000000005
189,67304,Eisenberg,Rheinland-Pfalz,Amprion,49.553527,8.093946
190,56825,Kliding,Rheinland-Pfalz,Amprion,50.113473,7.079162
191,67363,Lustadt,Rheinland-Pfalz,Amprion,49.23389699999999,8.268352
192,56825,Urschmitt,Rheinland-Pfalz,Amprion,50.115576,7.084995
193,54531,Wallscheid,Rheinland-Pfalz,Amprion,50.094807,6.874521
194,2994,Bernsdorf,Sachsen,50Hertz,51.36307933333333,14.055886
195,4509,Delitzsch,Sachsen,50Hertz,51.507542,12.300039
196,4509,Delitzsch,Sachsen,50Hertz,51.549568,12.292486
197,9557,Flöha,Sachsen,50Hertz,50.852145,13.071521
198,4668,Grimma,Sachsen,50Hertz,51.225693,12.718724
199,1558,Großenhain,Sachsen,50Hertz,51.2880855,13.539823
200,2788,Hirschfelde,Sachsen,50Hertz,50.9559095,14.8470515
201,9337,Hohenstein-Ernstthal,Sachsen,50Hertz,50.800699,12.731944
202,8349,Johanngeorgenstadt,Sachsen,50Hertz,50.436536,12.713384
203,8107,Kirchberg,Sachsen,50Hertz,50.619609,12.506653
204,8248,Klingenthal,Sachsen,50Hertz,50.361436,12.453022
205,1665,Käbschütztal,Sachsen,50Hertz,51.0999535,13.365386
206,1609,Lichtensee,Sachsen,50Hertz,51.377445,13.363531
207,9212,Limbach-Oberfrohna,Sachsen,50Hertz,50.852227,12.759275
208,1683,Nossen,Sachsen,50Hertz,51.085164666666664,13.358784111111111
209,4741,Roßwein,Sachsen,50Hertz,51.061735,13.178086
210,8261,Schöneck,Sachsen,50Hertz,50.394645,12.345261
211,39615,Altmärkische Wische,Sachsen-Anhalt,50Hertz,52.878817,11.884087
212,39596,Arneburg,Sachsen-Anhalt,50Hertz,52.682642,11.960671
213,39628,Bismark,Sachsen-Anhalt,50Hertz,52.643544199999994,11.6760942
214,39629,Bismark,Sachsen-Anhalt,50Hertz,52.703361,11.54253
215,6749,Bitterfeld-Wolfen,Sachsen-Anhalt,50Hertz,51.6338214,12.312599
216,6108,Halle,Sachsen-Anhalt,50Hertz,51.483,11.972
217,6467,Hoym,Sachsen-Anhalt,50Hertz,51.783651,11.331526
218,39319,Jerichow,Sachsen-Anhalt,50Hertz,52.53472225,12.07763875
219,39624,Kalbe,Sachsen-Anhalt,50Hertz,52.72684,11.431903
220,6308,Klostermansfeld,Sachsen-Anhalt,50Hertz,51.580261500000006,11.499354499999999
