asset_id,company_id,area_id,energy_source_id,commissioning_date_id,asset_name,generation_capacity_MW
1,15,203,1,20120202,BM-BHKW Heizwerk Kirchberg,1.189
2,14,221,1,20090114,Heizkraftwerk Osterfeld,1.9
3,3,215,1,20070619,"BGA Bitterfeld, Mühlenweg 1c, Anlage 1, BHKW",0.625
4,3,19,1,20060905,"BGA Kaakstedt, Ort Weiler 11, Anlage 1, BHKW",0.526
5,15,213,1,20061211,"BGA Garlipp, Gewerbegebiet, Anlage 1, BHKW",0.536
6,3,19,1,20060905,"BGA Kaakstedt, Ort Weiler 11, Anlage 2, BHKW",0.526
7,15,213,1,20061229,"BGA Garlipp, Sperlingsberg, Anlage 2, BHKW",0.536
8,15,213,1,20061221,"BGA Belkau, an der K1048, Anlage 1, BHKW",0.536
9,15,213,1,20061211,"BGA Belkau, Neuendorfer Weg, Anlage 2, BHKW",0.536
10,15,213,1,20070214,"BGA Schäplitz, Schäplitz , BHKW",0.536
11,3,194,1,20101119,"BGA Bernsdorf, Dresdener Str 17, BHKW1",0.834
12,3,215,1,20070711,"BGA Bitterfeld, Mühlenweg 1c, Anlage 2, BHKW",0.625
13,3,215,1,20070612,"BGA Bitterfeld, Mühlenweg 1c, Anlage 3; BHKW",0.625
14,3,215,1,20111220,"Satelliten ORC-BHKW Bitterfeld HH6, Freiherr-vom-Stein-Str. 14, ORC-BHKW 4",0.637
15,3,194,1,20140731,"BGA Bernsdorf, Dresdener Str 17, ORC-BHKW2",2.188
16,13,48,1,20071213,"BGA Wittenburg, Zur Winterwelt 2, Anlage 1, BHKW",0.716
17,3,239,1,20060123,"BGA Langenwetzendorf, Anlage I, BHKW 1",0.626
18,3,220,1,20081204,"BGA Klostermansfeld, Volkstedter Weg 4, 06308 Klostermansfeld, BHKW",0.834
19,15,222,1,20081114,"BGA Falkenstein, Froser Str. 10, BHKW 1",0.716
20,15,222,1,20201120,"BGA Falkenstein, Froser Straße 10, BHKW 2",2.004
21,13,206,1,20111202,"BGA Lichtensee, Alter Sportplatz 01, BHKW",1.191
22,15,214,1,20070312,"BGA Meßdorf, Beeser Chaussee, BHKW",0.536
23,15,214,1,20070621,"BGA Späningen, Schmersauer Str., BHKW",0.536
24,15,214,1,20070423,"BGA Berkau, K1069 Richtung Wartenberg, BHKW",0.536
25,15,211,1,20070510,"BGA Neukirchen, Neukirchen 67, BHKW",0.536
26,15,212,1,20070712,"BGA Beelitz, Dorfstraße, BHKW",0.536
27,13,48,1,20071210,"BGA Wittenburg, Zur Winterwelt 2, Anlage 2, BHKW",0.716
28,3,239,1,20060518,"BGA Langenwetzendorf, Anlage I, BHKW 2",1.021
29,13,48,1,20071213,"BGA Wittenburg, Zur Winterwelt 2, Anlage 3, BHKW",0.716
30,3,239,1,20061222,"BGA Langenwetzendorf, Anlage II, BHKW 3",1.703
31,15,217,1,20081218,"BGA Falkenstein, Zur Selkeaue 1, BHKW 3",0.716
32,3,225,1,20041101,"BGA Wanzleben, J.-W.-v.-Goethe-Straße 17, BHKW1",0.255
33,3,225,1,20041101,"BGA Wanzleben, J.-W.-v.-Goethe-Straße 17, BHKW 2",0.255
34,13,11,1,20010208,KW Pfaffenhofen Biomasse,6.1
35,15,199,1,20140116,BM-BHKW 1 Großenhain,0.405
36,15,56,1,20081211,BGA Nindorf,0.537
37,13,237,1,20061103,Bad Köstritz BHKW 1,1.043
38,3,3,1,20120201,BM-BHKW Nabern,0.936
39,13,237,1,20061103,Bad Köstritz BHKW 2,1.043
40,13,237,1,20061103,Bad Köstritz BHKW 3,1.043
41,3,207,1,20121219,BM-BHKW Limbach-Oberfrohna,0.2
42,13,237,1,20061103,Bad Köstritz BHKW 4,1.043
43,13,237,1,20161125,Bad Köstritz ORC-Anlage,0.065
44,15,202,1,20140714,BM-BHKW Johanngeorgenstadt,0.637
45,15,9,1,20140711,BM-BHKW München Westendstr,1.189
46,12,49,1,20061214,"BGA Wolgast, Netzebander Str. 1b, Anlage 1, BHKW",0.625
47,12,49,1,20061214,"BGA Wolgast, Netzebander Str. 1b, Anlage 2, BHKW",0.625
48,12,49,1,20071030,"BGA Wolgast, Netzebander Str. 1b, Anlage 3, BHKW",0.625
49,12,49,1,20101214,"BGA Wolgast, Netzebander Str. 1b, Anlage 4, BHKW",0.637
50,3,45,1,20070912,"BGA Malchin, Industriegelände 13, BHKW 1",1.064
51,3,45,1,20070912,"BGA Malchin, Industriegelände 13, BHKW 2",1.064
52,3,45,1,20070912,"BGA Malchin, Industriegelände 13, BHKW 3",1.415
53,3,45,1,20070912,"BGA Malchin, Industriegelände 13, BHKW 4",1.415
54,3,40,1,20091020,"BGA Friedrichshof, Friedrichshof 9, BHKW",0.716
55,4,52,1,20121010,T300002-02,0.0075
56,4,109,1,20140723,T021746,0.016
57,18,38,1,20181206,T023070,0.0072
58,17,191,1,20081211,Biks Modul 1,1.022
59,4,229,1,20180409,T022059,0.0072
60,4,94,1,20140703,T020780,0.387
61,4,63,1,20131105,T100032,0.8
62,18,95,1,20121204,T023004 EEG,0.25
63,4,102,1,20110804,T020772,0.14
64,18,33,1,20121212,T023024,0.386
65,4,120,1,20131031,T021047,0.156
66,4,120,1,20140723,T021049,0.022
67,4,115,1,20140724,T021388,0.022
68,4,120,1,20070214,T021046,0.034
69,4,120,1,20110518,T021572,0.6
70,4,102,1,20111123,T021616 BHKW 1,0.034
71,4,102,1,20111123,T021616 BHKW 2,0.02
