city,zipcode,state,tso_region,latitude_cen,longitude_cen
Bad Köstritz,07586,Thüringen,50Hertz,50.9,12.0
Lichtensee,01609,Sachsen,50Hertz,51.3667,13.4
Pfaffenhofen,85276,Bayern,TenneT,48.5305,11.505
Wittenburg,19243,Mecklenburg-Vorpommern,50Hertz,53.5339,11.1122
Altmärkische Wische,39615,Sachsen-Anhalt,50Hertz,52.9544,11.7361
Arneburg,39596,Sachsen-Anhalt,50Hertz,52.6883,11.9536
Beckdorf,21643,Niedersachsen,TenneT,53.4167,9.6167
Bismark,39628,Sachsen-Anhalt,50Hertz,52.6611,11.5542
Bismark,39629,Sachsen-Anhalt,50Hertz,52.6667,11.5667
Delitzsch,04509,Sachsen,50Hertz,51.4647,12.2684
Flöha,09557,Sachsen,50Hertz,50.8561,13.0741
Grimma,04668,Sachsen,50Hertz,51.2337,12.7196
Großenhain,01558,Sachsen,50Hertz,51.2895,13.5335
Hoym,06467,Sachsen-Anhalt,50Hertz,51.7829,11.3124
Johanngeorgenstadt,08349,Sachsen,50Hertz,50.4325,12.7114
Kirchberg,08107,Sachsen,50Hertz,50.6333,12.4667
Lauchhammer,01979,Brandenburg,50Hertz,51.4881,13.7662
München,80686,Bayern,TenneT,48.138,11.507
Oberschleißheim,85764,Bayern,TenneT,48.25,11.5667
Reinstedt,06463,Sachsen-Anhalt,50Hertz,51.7092,11.2937
Roßwein,04741,Sachsen,50Hertz,51.0824,13.1493
Altentreptow,17087,Mecklenburg-Vorpommern,50Hertz,53.6942,13.265
Bad Lobenstein,07356,Thüringen,50Hertz,50.4923,11.5933
Bernsdorf,02994,Sachsen,50Hertz,51.3861,14.0268
Bitterfeld-Wolfen,06749,Sachsen-Anhalt,50Hertz,51.6481,12.3655
Elsterwerda,04910,Brandenburg,50Hertz,51.4793,13.4679
Gerswalde,17268,Brandenburg,50Hertz,53.1262,13.5455
Hohenstein-Ernstthal,09337,Sachsen,50Hertz,50.8006,12.7129
Kirchheim,73230,Baden-Württemberg,TransnetBW,48.6468,9.4538
Klingenthal,08248,Sachsen,50Hertz,50.3667,12.4667
Klostermansfeld,06308,Sachsen-Anhalt,50Hertz,51.5833,11.5
Langenwetzendorf,07957,Thüringen,50Hertz,50.7075,12.0833
Limbach-Oberfrohna,09212,Sachsen,50Hertz,50.8588,12.7616
Malchin,17139,Mecklenburg-Vorpommern,50Hertz,53.6427,12.684
Schöneck,08261,Sachsen,50Hertz,50.3833,12.3167
Sulzbach-Rosenberg,92237,Bayern,TenneT,49.5013,11.746
Wanzleben-Börde,39164,Sachsen-Anhalt,50Hertz,52.07,11.3659
Osterfeld,06721,Sachsen-Anhalt,50Hertz,51.0622,11.8967
Leinefelde-Worbis,37327,Thüringen,50Hertz,51.3833,10.3667
Wolgast,17438,Mecklenburg-Vorpommern,50Hertz,54.0528,13.772
Lustadt,67363,Rheinland-Pfalz,Amprion,49.2448,8.2741
Ronnenberg,30952,Niedersachsen,TenneT,52.3194,9.6554
Burgwedel,30938,Niedersachsen,TenneT,52.5027,9.86
Bad Bentheim,48455,Niedersachsen,TenneT,52.3007,7.1576
Barsbüttel,22885,Schleswig-Holstein,TenneT,53.5667,10.1667
Clausthal-Zellerfeld,38678,Niedersachsen,TenneT,51.8095,10.3382
Dießen,86911,Bayern,TenneT,47.9508,11.1031
Erkelenz,41812,Nordrhein-Westfalen,Amprion,51.0795,6.3153
Essen,45136,Nordrhein-Westfalen,Amprion,51.4353,7.0352
Gablingen,86456,Bayern,TenneT,48.45,10.8167
