Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2024;Jan 2, 2024;20,799.75;2,434.75;4,976.50;182,949.25;8,052.00;516.00;57,052.25;11,822.50;28,156.50;8,074.75;20,632.25
Jan 2, 2024;Jan 3, 2024;21,361.50;2,501.50;15,253.25;170,007.25;3,151.75;1,281.75;61,066.25;14,053.00;48,210.00;16,314.50;22,166.75
Jan 3, 2024;Jan 4, 2024;20,986.75;2,455.50;26,865.00;274,326.50;8,174.00;1,166.50;60,588.25;13,552.75;46,975.75;11,142.75;22,078.25
Jan 4, 2024;Jan 5, 2024;20,978.00;2,456.00;21,975.00;191,437.25;4,366.75;1,250.00;130,663.25;14,872.75;57,980.50;12,016.25;21,043.50
Jan 5, 2024;Jan 6, 2024;21,040.75;2,463.25;11,760.25;86,594.25;5,802.50;1,817.25;183,293.00;15,555.50;72,217.00;9,020.75;21,936.75
Jan 6, 2024;Jan 7, 2024;21,169.50;2,478.00;26,513.75;85,392.00;3,646.50;1,840.25;182,148.25;20,518.75;73,879.50;8,451.75;21,449.50
Jan 7, 2024;Jan 8, 2024;21,206.00;2,483.25;23,896.25;97,528.75;6,263.75;1,852.50;173,688.00;24,510.25;73,582.75;5,453.50;21,418.50
Jan 8, 2024;Jan 9, 2024;21,223.00;2,484.50;15,023.00;96,907.25;14,895.50;1,782.00;163,384.75;27,037.75;81,422.00;9,759.50;21,401.75
Jan 9, 2024;Jan 10, 2024;21,163.00;2,477.25;3,016.75;28,642.75;19,776.75;1,779.75;178,455.75;25,425.00;88,093.50;12,547.50;24,355.25
Jan 10, 2024;Jan 11, 2024;21,998.00;2,575.25;6,994.75;16,795.75;18,635.75;1,835.25;190,007.00;24,122.00;91,598.25;13,940.25;25,074.50
Jan 11, 2024;Jan 12, 2024;22,415.75;2,624.50;16,144.00;32,724.25;12,219.00;1,860.75;197,272.75;24,699.75;91,002.50;10,235.00;24,262.25
Jan 12, 2024;Jan 13, 2024;22,537.75;2,638.25;11,811.50;36,354.00;3,272.75;1,538.75;187,246.50;26,130.00;86,971.75;9,548.25;23,695.50
Jan 13, 2024;Jan 14, 2024;22,501.25;2,634.00;23,381.25;201,792.50;3,997.75;711.25;119,247.25;15,507.25;64,359.75;3,876.75;20,791.00
Jan 14, 2024;Jan 15, 2024;22,085.75;2,587.25;20,999.00;229,984.50;6,669.50;587.75;115,147.00;15,260.00;58,121.25;6,694.00;20,286.25
Jan 15, 2024;Jan 16, 2024;21,495.25;2,515.25;20,490.00;257,186.50;8,181.00;1,053.25;161,378.50;19,533.75;69,647.50;7,580.75;16,465.25
Jan 16, 2024;Jan 17, 2024;21,904.50;2,564.25;4,836.50;112,223.00;6,584.00;1,404.25;203,397.00;24,078.75;79,299.50;11,780.50;20,591.25
Jan 17, 2024;Jan 18, 2024;22,212.25;2,601.50;21,690.75;85,765.50;5,350.25;1,510.00;186,921.00;23,408.75;79,623.00;12,682.25;21,887.00
Jan 18, 2024;Jan 19, 2024;21,869.75;2,561.25;14,887.00;56,790.25;4,206.75;1,856.25;202,166.50;23,869.75;88,873.00;10,551.50;24,145.25
Jan 19, 2024;Jan 20, 2024;22,219.25;2,601.25;27,547.75;247,479.00;7,940.75;766.25;130,354.75;21,357.50;69,562.75;10,241.25;17,309.00
Jan 20, 2024;Jan 21, 2024;22,252.50;2,605.25;21,773.25;242,654.25;10,866.00;790.25;106,100.00;13,080.75;65,992.00;7,402.50;14,021.75
Jan 21, 2024;Jan 22, 2024;22,086.75;2,585.75;25,085.50;231,191.25;7,373.25;861.25;59,543.00;12,744.00;56,315.00;5,241.75;14,120.00
Jan 22, 2024;Jan 23, 2024;21,747.50;2,546.00;27,381.50;326,200.50;5,951.00;809.25;51,528.50;12,812.75;56,200.00;9,089.25;13,178.25
Jan 23, 2024;Jan 24, 2024;21,625.75;2,531.75;22,370.75;288,772.00;12,777.00;881.75;54,572.25;12,868.50;59,569.25;14,961.75;18,998.75
Jan 24, 2024;Jan 25, 2024;21,482.50;2,514.00;20,593.25;360,661.50;12,794.50;1,041.00;63,079.75;12,989.75;54,037.25;10,249.00;19,017.25
Jan 25, 2024;Jan 26, 2024;21,703.25;2,540.75;14,574.75;256,229.50;14,796.00;1,312.75;80,491.25;13,417.25;65,256.75;15,063.75;20,086.00
Jan 26, 2024;Jan 27, 2024;21,836.75;2,555.25;16,343.50;219,963.25;6,325.25;1,079.75;68,456.75;12,383.25;58,339.00;6,538.75;21,076.00
Jan 27, 2024;Jan 28, 2024;21,858.75;2,558.50;21,711.50;201,899.50;24,062.25;1,210.25;75,757.00;11,142.75;62,137.00;13,554.25;21,843.00
Jan 28, 2024;Jan 29, 2024;22,615.75;2,647.50;15,477.25;91,010.75;36,590.75;1,071.50;69,563.50;12,574.25;60,870.25;3,337.75;21,524.00
Jan 29, 2024;Jan 30, 2024;22,426.50;2,624.75;18,734.75;144,070.75;32,130.50;1,361.75;125,257.75;23,876.75;67,925.50;12,133.50;22,217.00
Jan 30, 2024;Jan 31, 2024;22,557.25;2,641.75;10,136.00;117,112.75;20,906.00;1,253.50;121,774.00;16,342.25;65,876.25;8,170.75;22,330.00
Jan 31, 2024;Feb 1, 2024;21,856.75;2,558.50;29,077.75;174,092.75;12,178.75;1,182.00;115,088.50;16,097.75;67,910.25;8,931.00;21,649.75
