Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;18,021.75;1,605.25;164,246.25;10,335.75;1,401.00;-;29,280.00;2,059.00;22,100.50;2,234.75;14,664.50
Jan 2, 2025;Jan 3, 2025;19,122.00;1,746.75;76,881.00;6,856.75;1,379.75;-;64,842.75;33,698.50;83,546.50;7,432.00;14,247.75
Jan 3, 2025;Jan 4, 2025;18,851.50;1,817.25;120,680.00;7,662.75;1,435.75;-;84,307.50;33,794.75;86,183.25;590.50;14,111.00
Jan 4, 2025;Jan 5, 2025;19,397.75;1,758.00;33,346.50;5,679.25;1,533.50;-;107,179.50;37,228.25;53,892.00;4,163.25;14,140.00
Jan 5, 2025;Jan 6, 2025;18,438.50;1,931.50;136,638.00;1,813.75;1,531.00;-;64,160.25;11,038.00;42,357.50;2,448.25;13,651.00
Jan 6, 2025;Jan 7, 2025;17,903.75;2,114.75;209,612.00;8,789.25;1,443.00;-;33,535.50;2,490.00;41,961.50;2,447.25;13,643.50
Jan 7, 2025;Jan 8, 2025;18,512.50;2,166.75;181,818.50;9,998.75;1,470.00;-;70,382.75;16,254.25;62,711.00;5,701.75;11,434.75
Jan 8, 2025;Jan 9, 2025;19,191.75;2,210.75;85,110.25;6,450.00;1,495.00;-;97,818.75;43,109.00;99,339.25;2,434.00;10,184.00
Jan 9, 2025;Jan 10, 2025;19,469.25;2,354.00;106,027.50;4,066.25;1,473.50;-;93,450.25;49,735.25;115,003.00;4,458.50;10,698.50
Jan 10, 2025;Jan 11, 2025;19,277.00;2,359.75;87,795.00;9,798.25;1,561.50;-;82,027.75;38,526.00;91,056.00;2,820.75;12,010.50
Jan 11, 2025;Jan 12, 2025;18,772.25;2,189.25;28,927.75;9,752.00;1,593.00;-;81,363.00;32,976.75;111,043.75;126.00;12,788.25
Jan 12, 2025;Jan 13, 2025;18,972.50;2,137.50;24,317.25;10,142.50;1,606.75;-;85,371.75;33,048.50;76,044.75;2,154.25;12,863.25
Jan 13, 2025;Jan 14, 2025;19,216.50;2,159.50;27,379.50;20,683.00;1,492.50;-;85,549.50;41,038.25;144,865.75;5,027.25;11,591.25
Jan 14, 2025;Jan 15, 2025;19,045.50;2,075.50;48,254.75;16,199.25;1,465.00;-;95,667.50;43,566.50;152,187.75;3,755.75;11,664.75
Jan 15, 2025;Jan 16, 2025;19,904.75;2,078.50;18,935.75;5,572.00;1,539.75;-;107,652.25;36,944.50;176,441.00;6,283.75;12,323.00
Jan 16, 2025;Jan 17, 2025;19,660.00;2,081.75;19,439.25;8,451.00;1,551.75;-;87,495.00;31,854.00;172,025.75;3,412.75;12,709.00
Jan 17, 2025;Jan 18, 2025;19,779.50;2,043.00;12,543.25;5,804.50;1,543.50;-;91,460.00;32,144.25;163,356.00;7,703.50;13,667.25
Jan 18, 2025;Jan 19, 2025;19,545.25;1,981.00;21,064.50;10,853.00;1,503.75;-;75,919.75;37,130.00;137,970.75;1,227.00;13,045.75
Jan 19, 2025;Jan 20, 2025;19,075.25;1,956.00;11,224.75;16,946.50;1,572.50;-;75,077.25;37,221.00;116,903.25;910.50;12,834.75
Jan 20, 2025;Jan 21, 2025;19,895.75;1,972.25;2,739.75;7,632.75;1,464.00;-;83,803.25;38,278.25;178,192.50;7,748.25;13,847.75
Jan 21, 2025;Jan 22, 2025;19,705.50;1,941.75;12,338.00;17,040.00;1,508.75;-;94,226.50;43,169.50;185,562.50;7,658.75;12,173.75
Jan 22, 2025;Jan 23, 2025;19,742.25;1,883.75;82,956.50;9,322.25;1,560.50;-;93,161.25;36,397.75;164,501.50;4,786.50;12,675.75
Jan 23, 2025;Jan 24, 2025;19,526.00;2,107.25;144,110.75;7,213.50;1,577.50;-;83,721.50;28,652.50;86,028.50;2,105.00;12,124.50
Jan 24, 2025;Jan 25, 2025;19,069.75;2,186.75;182,748.25;9,619.50;1,619.25;-;37,113.50;14,306.25;87,747.75;893.50;12,210.75
Jan 25, 2025;Jan 26, 2025;19,839.50;2,279.75;97,293.00;8,845.25;1,600.00;-;60,818.25;17,368.00;46,227.00;8,648.50;11,140.75
Jan 26, 2025;Jan 27, 2025;19,528.25;2,249.25;111,805.50;10,882.75;1,631.25;-;70,018.75;3,200.50;38,591.75;2,862.00;12,529.50
Jan 27, 2025;Jan 28, 2025;19,009.00;2,314.50;193,744.75;11,446.75;1,595.75;-;52,052.75;1,629.50;61,208.00;3,459.25;12,690.00
Jan 28, 2025;Jan 29, 2025;19,500.50;2,506.75;158,577.00;13,977.50;1,447.50;-;70,463.50;19,821.75;75,733.00;7,760.00;10,770.25
Jan 29, 2025;Jan 30, 2025;19,217.00;2,465.25;149,213.25;13,958.50;1,497.75;-;66,150.50;12,394.25;62,327.75;4,053.75;10,312.50
Jan 30, 2025;Jan 31, 2025;19,690.50;2,313.50;46,158.50;10,979.50;1,522.75;-;80,720.50;18,282.25;119,661.50;2,679.50;10,340.25
Jan 31, 2025;Feb 1, 2025;20,007.25;2,269.75;29,209.25;22,159.00;1,573.00;-;94,547.75;29,829.50;114,317.25;2,807.25;12,001.75
Feb 1, 2025;Feb 2, 2025;19,749.00;2,198.75;34,797.25;32,561.25;1,600.75;-;113,289.50;19,760.25;82,465.75;2,761.00;13,097.25
Feb 2, 2025;Feb 3, 2025;19,435.75;2,143.75;18,296.25;31,684.75;1,579.25;-;111,069.50;18,270.00;77,302.75;519.25;13,304.75
Feb 3, 2025;Feb 4, 2025;20,020.75;2,088.25;9,078.00;24,551.00;1,470.25;-;113,145.00;18,526.50;146,857.25;4,719.50;13,852.00
Feb 4, 2025;Feb 5, 2025;19,865.75;2,041.00;31,887.50;15,267.25;1,366.25;-;108,310.50;24,524.50;148,761.50;4,441.00;12,742.75
Feb 5, 2025;Feb 6, 2025;20,081.00;1,974.75;29,680.00;13,193.00;1,491.50;-;95,015.75;31,080.00;159,547.50;3,407.00;11,932.25
Feb 6, 2025;Feb 7, 2025;20,282.75;1,934.50;50,868.75;7,130.50;1,439.25;-;95,880.75;55,487.00;154,569.00;4,921.00;11,685.00
Feb 7, 2025;Feb 8, 2025;19,931.75;1,927.25;169,089.25;11,463.75;1,471.75;-;87,024.50;49,668.75;95,028.00;2,740.25;15,642.75
Feb 8, 2025;Feb 9, 2025;19,610.25;1,901.50;79,091.00;27,173.50;1,374.50;-;82,779.50;45,367.00;82,105.25;1,430.00;15,201.25
Feb 9, 2025;Feb 10, 2025;19,835.00;1,893.25;28,741.25;22,642.50;1,304.00;-;77,049.50;62,086.75;82,837.50;2,504.25;14,840.00
Feb 10, 2025;Feb 11, 2025;19,981.25;1,856.50;98,529.25;14,151.25;1,351.75;-;76,680.50;63,490.25;118,604.00;4,922.50;15,466.25
Feb 11, 2025;Feb 12, 2025;20,099.00;1,909.50;67,928.25;11,296.25;1,430.25;-;78,915.25;72,453.00;130,492.00;4,475.25;15,469.00
Feb 12, 2025;Feb 13, 2025;20,282.75;1,978.75;7,414.25;14,382.00;1,541.00;-;83,098.25;84,308.00;156,830.00;4,312.75;15,115.25
Feb 13, 2025;Feb 14, 2025;20,557.00;2,093.75;20,776.25;7,473.75;1,497.75;-;84,934.75;61,757.00;172,660.25;6,246.75;15,551.50
Feb 14, 2025;Feb 15, 2025;20,971.25;2,119.75;11,769.00;7,767.50;1,501.50;-;69,666.25;60,327.50;177,276.50;7,006.25;16,254.50
Feb 15, 2025;Feb 16, 2025;20,619.75;2,006.75;13,402.00;12,492.50;1,565.50;-;67,631.50;61,879.00;129,550.25;2,203.00;16,150.50
Feb 16, 2025;Feb 17, 2025;19,910.75;1,952.50;58,168.00;25,235.00;1,552.50;-;64,410.75;60,143.50;72,982.00;522.25;15,729.50
Feb 17, 2025;Feb 18, 2025;20,286.00;1,935.25;45,194.00;46,602.25;1,524.75;-;93,599.75;61,325.25;139,639.50;7,040.00;17,644.25
Feb 18, 2025;Feb 19, 2025;20,179.50;1,920.25;93,453.25;48,490.25;1,522.25;-;101,358.75;52,177.75;103,355.50;4,721.75;15,427.50
Feb 19, 2025;Feb 20, 2025;20,014.00;1,893.75;119,386.00;41,227.75;1,537.25;-;84,186.75;50,092.75;98,248.50;1,992.00;13,886.50
Feb 20, 2025;Feb 21, 2025;20,270.25;1,920.50;70,683.00;22,866.25;1,402.50;-;95,259.50;60,919.75;103,033.25;3,900.75;16,030.25
Feb 21, 2025;Feb 22, 2025;19,517.75;2,017.25;88,546.75;34,859.75;1,401.00;-;90,062.25;25,522.00;76,488.75;2,646.75;14,134.50
Feb 22, 2025;Feb 23, 2025;19,313.25;2,068.50;111,101.25;20,423.00;1,346.25;-;70,974.50;16,886.75;46,839.25;8,005.50;13,820.25
Feb 23, 2025;Feb 24, 2025;18,911.00;2,120.00;56,254.25;38,493.50;1,404.25;-;77,919.75;26,333.00;42,322.50;4,405.75;13,504.50
Feb 24, 2025;Feb 25, 2025;18,619.00;2,182.75;138,943.25;15,347.75;1,344.50;-;82,301.75;26,302.75;65,514.25;210.75;12,958.50
